"","documents"
"78","Started off well, ended not so well. Made a deposit for a group of 11. 3 people did not join as they felt unwell, so we were given a table for 8 (not 11 as we requested but they was absolutely fine). The Cypriot behind...More"
"79","Really good food, a lot of vegetarian options. Vasilis was really welcoming and friendly would come back."
"80","The food was absolutely delicious, and the atmosphere was really friendly. The service was also very good (our waiter was Vaslis, who was very helpful in navigating the menu!)Would definitely come again!"
"81","I was rly impressed with the customer service and food at this place. You get a lot of food for the price. Vasilis really matched the mood for the meal and cracked lots of jokes. The food was also on point and there was lots...More"
"82","5/5!非常美味！对于中国人的胃口来说微酸，但是不会很过分。口味很柔和，推荐moussaka，像千层面，但是却独有特色，很棒的希腊餐厅，绝对值得一试。vasilis先生的服务也很用心。Thanks for the waiter Vasilis, really good service, friendly and helpful. Food here is no doubt delicious, definitely worth the price"
"83","Got to say slipping with standards really disappointed I’ve been coming here for years..the calamari was dripping in grease..so obviously sent it back, only to be told “if it’s over cooked it’s chewy”….but it was warm, slimy and full of grease..so I had my starter...More"
"84","Vasilis was a great server, very friendly and accommodating! Highly recommend!!! The food was so good, can’t wait to come again!"
"85","The best meze i ever had.Delicious food,very very good service.Very good prices The meze had 14 starters(quality) loutza,halloumi,pastourmas,fish,kalamari,kinprawLamp,chicken,sheftalia,pork kebab and saladEvery time i go to london is the firt place i visit to eatI recomend it, you will be supriced...More"
"86","Fantastic food - a real gem! Eileen looked after us and made our dinner even more fantastic!! Try the tzatziki it’s an absolute winner!"
"87","Very good food, the people lovely.My husband enjoyed the vine and the limoncello from the end, recomended!!!"
"88","Camden is not short of the odd Greek restaurant or two. Alexander the Great is but a stone’s throw from Andy’s, Daphne’s and Yamas. They’re all fairly compact spaces but only Alexander’s and Andy’s have outdoor spaces. Alexander’s has a cosier interior complete with two...More"
"89","Lovely friendly service, delicious food - mixed and fish kebabs highly recommended. Generous portions at very reasonable prices."
"90","The food was great and the atmosphere even better. Thanks to Vasilis for the great company and the good tips on the menu. Good way to discover Greece in London"
"91","Amazing food, amazing location, and amazing waiter Vasilis!! 100% recommended, the best quality/price for greek food in London! "
"92","Great food, good atmosphere and with eileen we had a very friendly waitress .We will surely come back the next time we are in camden.Greetings from switzerland."
"93","The food was fresh, properly prepared and a great value for the proce. The service staff were very helpful and friendly!The best greek restaurant in Comden Town!!"
"94","Amazing food, brilliant value for money. Lovely host and made to feel very welcome. Can’t recommend highly enough! Will be back"
"95","Not a “fine dining” restaurant but the food was fabulous and the service as friendly as you like.Literally having eaten out all week ( every night on our london trip )We decided to go greekThe lamb kleftico was the star of the...More"
"96","From start to finish, my trip here was a joy. I had cold mezze to start with pitta, then lamb for main course. Vasili kindly treated me to baklava and ouzo to finish. House white and red was lovely, and I was shocked at the...More"
"97","Tasty food, good value for money, friendly staff.Atmosphere in the restaurant was very love and fun.Great wine and prices"
"98","I booked a table to celebrate a special occasion with my girlfriend. The food is amazing, especially the fish that is incredibly fresh and tasty. Highly recommended,I’ll come back soon!"
"99","We came to this restaurant because of the great reviews on Trip Advisor and weren’t disappointed. Having lived in Cyprus and holidayed many times in Kefalonia this is absolutely a Greek restaurant experience at its best. The atmosphere, food and service are first rate. A...More"
"100","Wonderful evening at Alexander the Great! The food was absolutely delicious and very generous portion size! Eileen was a great host - very helpful with offering suggestions on the menu and very attentive! Thank you for a great meal. We are already looking forward to...More"
"101","Had such a really lovely evening , food is really really nice enjoyed every bit of it , the staff really lovely nice kind  atmosphere it’s great ,waitress Eileen so good she really looks after everyone love this restaurant can’t wait to go again thank...More"
"102","The food was fresh and tasty and the customer service was very good. Waiting times were very short and area was busy and nice."
"103","Amazing restaurant in Camden which is a must try. We had the chicken and lamb kebabs which were delicious! Hospitality by Vasilis was spot on :) Please go - too for food and atmosphere"
"104","What an amazing find. We were visiting Camden for the weekend to drop my daughter at Uni. After a mammoth drive from Cornwall, this was a very welcome oasis. The hospitality was welcoming, authentically Greek and attentive. The food was great, piping hot with all...More"
"105","Food was unreal. Atmosphere was amazing. The service was brilliant. Special thank you to Eileen. Tip top service, great sense of humour, all round great experience. Will be returning soon."
"106","The food is was amazing and the products is was very good quality the service it was exelent and the price it was normal and very good The maze i was ate it was exelent !! I will meet the restaurant again and again"
"107","My second time coming here and never seem to disappoint me. Eileen served my table and she was very attentive and cheerful! Service was super speedy. Will definitely be coming back"
"108","It was my birthday today, just got home after having a really pleasent meal at the restaurant.  The food was great, made with quality ingredients,  big portions (truet the waiter when ordering food!). Thank you Vasili & the team! Specially thank you for the cake...More"
"109","Came for the weekend and dined outside. Our waiter Andreas was very attentive and made sure we enjoyed our meal! Got the mixed meze for 2 and it was delicious and fresh, a mix of everything and was a lot of food (be warned)!  The...More"
"110","Food fabulous, service fabulous, surroundings fabulous. Perfect. Big shout out to Eileen who was amazing"
"111","Great food, lovely fresh fish, generous portions and brilliant staff(especially Andreas). Thank you - we will be back again!"
"112","Packed in like sardines , no space between tables, no room to manoeuvre,  if sitting near door waiters constantly bumping in your back."
"113","Had a lovely meal for 2 at lunch time. Started with cold mezze which where delicious. I had sea bass for main. The fish was so fresh and tasted amazing! My partner has the Alexander kebab which was amazing as well. Everything was so fresh...More"
"114","I was a bit disappointed. Maybe because of so many glowing reviews on TripAdvisor, the expectations were really high!The octopus as a starter was by far the worst... It was dry dry dry. Awful! Probably the worst octopus I have ever had (and I...More"
"115","This has to be the best food and service we have experienced in years!! The octopus was out of this world amazing and the meat mixed grill was sensational . Every mouthful of every dish left us wanting more. And the service- what amazing people!...More"
"116","We enjoyed our time here so much, the food was amazing, the service was great and the atmosphere was fab! Definitely give it a visit, well worth the trip!"
"117","Great service by Andy, incredible amount of food which was fantastic - had the vege mezze and would recommend."
"118","Amazing night at Alexander the greatWarm welcome from the team, special thanks to Vasilis!Yamas!!!!!"
"119","The food was so good, service was amazing. I had the best grilled Octopus. Vasilis was very friendly and helpful. The bill was not too bad also. I could have not asked for more. Would 100% recommend and would go again."
"120","This was our first visit and definitely won't be the last.  Friendly service   wonderful food and  great ambience.  10/10.  Highly recommended."
"121","The clue is in the name! What a find. We came here with our three children for dinner and were treated to an authentic family welcome. Nothing was too much trouble and Eileen looked after us like family! Amazing menu choices and great portion sizes....More"
"122","Had a group of 13, everybody fit in fine. The price for the quality and amount of food is fantastic. The service was great!  Vasilis the waiter was stupendous! It was one of our groups birthday - cake, champagne (on the house) and happy birthday...More"
"123","Simply stunning! Independent, authentic and just what I was searching for   the expert, friendly waiter was the icing on the cake"
"124","We had a brillant experience here. We searched for a best restaurant in Camden and this restaurant came up. It was so worth it and we love it! Went for a lunch with my family to celebrate my bro who got a new job. The...More"
"125","Incredibly enjoyable experience. Andreas, our host, was attentive and friendly.Food was absolutely amazing. Mezze an amazing choice to get a taste of all of the delicious selection.Spent about £30 pp for mezze and wine. Definitely recommend."
"126","Amazing food, highly recommend!!!! They do great sharing options and really nice outdoor seating for a summer evening."
"127","We had an amazing dinner to celebrate a friend’s engagement here. The food was incredible, the service was fast and our host, Vasilis, was so friendly and  attentive. Perfect place for groups or an intimate dinner - great all rounder, would definitely recommend for anyone...More"
"128","Brilliant food and amazing service from Eileen. Sea Bream and Chicken Kebab was particularly exquisite"
"129","Great food and service! Llamas Vasilis!!!Make sure you order a Greek coffee from him, he will read your fortune! Yamas till next time !!!!!!!!"
"130","Great food and the atmosphere was great, Eliana made us feel welcome and made sure everything was great. The octopus was a good choice and so was the house grill, the place was busy so suggest you book if you want to get in."
"131","I’ve took the tine to post my first review as this place is excellent. Costa and Eileen were fantastic hosts such an enjoy experience. We will definitely be back."
"132","We had the best time for a family meal this afternoon. Andreas was the most attentive waiter and the whole team were very kind and helpful. The food was the best we’ve had in London and nothing was too much trouble for the kitchen. We...More"
"133","I highly recommend this establishment to anyone seeking delicious food at great price with great atmosphere. Vasili is an excellent waiter, he went above and beyond to get us a table even though we came early. Best dolmadas I’ve had in London. Got the Alexander...More"
"134","What a great night. Food was fabulous, authentic Greek food served up by the wonderful Andreas. Loved the vibe, felt like we were on holiday. Recommended by our daughter & boyfriend. Can't wait to return. Thank you!"
"135","Andreas was amazing. We came last year and had to rebook. Kind, attentive and wonderful staff. Couldn’t recommend this independent restaurant more. Food amazing as well as atmosphere. We will be backThank you to all the staff for kickstarting our weekend."
"136","Visited Alexander the Great last night with friends. We were immediately made to feel really welcome and part of the family. The food was delicious and everyone was having fun in such a warm pleasant environment. I can’t thank Eileen enough for spoiling my little...More"
"137","For sure one of the best restaurants in London. The stuff was friendly, the service was amazing, they gave to us advice about the menu, we really had a great lunch. Food amazing, stuff amazing, drinks amazing EVERYTHING AMAZING!!!"
"138","Feeling a bit on the peckish side and wanting to get away from the crowds of Camden Market only 1/2 a mile away we found this real gem. We were made to feel so welcome by Andreas, Vasilis and Harry who looked after us so...More"
"139","Best Greek food we’ve had outside of Greece, a country we have spent a lot of time in. Lovely service, authentic feel. Relaxed atmosphere but still a special enough place for an anniversary. Can’t wait to go back."
"140","Lovely authentic restaurant we had the mixed meze all courses were delicious and plentiful.Service was great and staff very friendly and attentive. Highly recommend"
"141","Read the reviews before we booked. It didn’t disappoint. Accommodated is outside and put outdoor heater on. Food and service was fabulous. Loved the kleftika, just fell off the bone. Staff were great - Eileen in particular. Would highly recommend."
"142","We have Birthday party last night, good vibes, warm welcome, food amazing Meze just so good Family owned restaurant , I’m first time there but feel like regular costumer we’ll look after you Highly recommend"
"143","The best Greek tavern in England!!!Eileen-The best waitress for whom we have been returning to this restaurant for years!We highly recommend it."
"144","We had a delightful time. Beautiful food and Andreas was a treat. Excellent value for money and lovely atmosphere.  We will certainly be back."
"145","Went out for our mate Tarquin's 30th birthday. Had the mezes, absolutely outstanding food and plenty of it. Even better service from Andreas and the team, very highly recommended!"
"146","Fantastic meal - delicious food, amazing service, great times and Andreas was an absolute pleasure. That was a five star meal."
"147","Went here with my friend after a friend recommended it to us and they did not disappoint ! we've been a couple times now, the food is exceptional and so is the service. Big shoutout to Kyriakos for always making sure we have a great...More"
"148","Can not rate this place highly enough. Visited tonight and were looked after by Andy who was an outstanding waiter and kept us entertained throughout the night on top of excellent service. The food was absolutely delicious and we will definitely be returning whenever we’re...More"
"149","Wow cannot recommend this enough.  Wonderful atmosphere,  delicious food and brilliant service - special mention to our waitress Eleni ? ."
"150","Excellent food, lovely staff. Our server was Andreas and he made us feel very at home and well looked after. Came here for a friend's birthday and they went above and beyond to make it a special evening. Can't recommend enough!"
"151","Andreas was a fantastic host. The food was delicious, the vegetarian options are very good. Don't overlook it! Great food, great host and grey service."
"152","Amazing service and amazing food! Great quality and value for money! Definitely worth a visit if you haven’t been."
"153","Amazing service, wonderfully taken of by the lovely Eileen and Andy, definitely recommend For food and an enjoyable time "
"154","Wonderful evening. We had the mixed Mezze. .....Selection of hot and cold starters...Fish course.. grilled meat platterAnd Greek SaladAbsolutely fantastic.Our server Eileen was friendly and helpful.. This was our  second visit  and hopefully not our last."
"155","The food was delicious, brilliant value and the service was fantastic. I cannot fault anything, had a wonderful time! Thanks for a lovely evening,  I'll definitely be back!"
"156","We had lunch here on the terrace on a warm day. The restaurant is lovely and we love the classic Greek style decor and low-volume music. The service was fast and helpful (Thanks to our main waitress Ilona(?)). We are all veggie and there are...More"
"157","5/5 would recommend this place to anyone! Andy our waiter was very attentive and made our experience really good! The food was excellent and the service was very efficient - will definitely be back! "
"158","Its a best place ever! Fresh food and healthy cookery for absolutely reasonable price! What can you dream about? I forgot about best service, home atmosphere and generous portions. As I picky eater i gave up on an idea to eat somewhere else apart of...More"
"159","This is my second week in a row coming to this restaurant.I went first time with my boss and it was amazing how great were were treated and the food was incredibly tasty and yummy. The portions, quality, experience and price were just perfect....More"
"160","I don’t even know where to start ..  We stumbled across this place as we were walking through Plender St. We were specifically looking for a Greek restaurant to celebrate our “non wedding day” (had to postpone due to travel restrictions to Greece)  and WOW...More"
"161","The food was amazing. From the Greek specialities to the fish of the day.We really liked here.We'll come back Thank you!"
"162","I can see why this place is rated in the top 10 of London.The staff really can’t do anything more to make you feel welcome and look after you. As for the food just one word sums it up “amazing”. We shared three starters...More"
"163","Amazing little place, full of life and character. Food amazing and value for money second to none! Eileen, our waitress, was SUPERB! We will be back!"
"164","Fantastic restaurant always treated well food amazing and can’t fault will always come back best Greek around.pic of free brandy after meal what more can u ask for."
"165","Lovely day out ,very good service and nice atmosphere, team very friendly ,the restaurant is very nice aoutside and inside."
"166","We enjoyed the food and pleasant staff . The restaurant has a great environment too. Love the music! It’s a must visit for anyone seeking a great Greek experience."
"167","Best greek  restaurant in London. Friendly hosts , and amazing food definitely coming back again . Very pleasant experience"
"168","Incredible food, so much of it and amazing service by Andy, went out of his way to give us a brilliant time :)"
"169","The restaurant and staff were amazing, both the location and the looks of the place are really lovely and our waiter Andy was especially friendly and very efficient, always go for a dessert and Limoncello on the house"
"170","Food was as lovely as ever. The atmosphere is also really nice. Eileen the waitress was also fantastic!!! Thank you Eileen Xxx"
"171","Alexander the Great indeed, the food here is absolutely delicious, I thought I was in Greece, having read the great reviews I was very curious myself, so I went along with my partner and we absolutely loved it, try it you will not be disappointed,...More"
"172","Wonderful experience. I am Greek so I was hesitant at first to as have found other Greek restaurants to be slightly mediocre. This one, however, was far from that! Our waiter Vasilis, was PHENOMENAL. If you can, do request him as your waiter when you...More"
"173","With our trip to London being the most holiday-like thing we've done since COVID, we just had to go for a Greek meal and this place did not disappoint!We started with some pitta, Greek sausage and saganaki then went straight in for lamp chops...More"
"174","What a great restaurant. Amazing service , beautiful fresh food and very generous portions.This place feels like home, everyone makes you feel welcomed. We moved outside London and still travelling once a week to eat here. Stelios is amazing reaching to every table and engaging...More"
"175","I wasn’t sure to come here when my husband told but thanks god I come! The food is AMAZING! I got Octopus which was the nicest perfect dinner fresh and soft I love it but definitely the best of the visit was Andy! What a...More"
"176","We were staying in the Camden area and after looking online for restaurants to book I found this place and having read the reviews and looking at the menu I knew it was worth a try! My my we were not disappointed! Food was absolutely...More"
"177","Absolutely amazing placeFelt like we were actually on holiday in the Greek islandsThe food was outstanding We had a mixture between us of salad,breads,potato salad,chicken kebab Lamb,pork and Greek style potatoes Every bite was delicious and good sized portions! We couldn’t move after!...More"
"178","We came across this restaurant when visiting other well advertised restaurants in the locality. We are so glad we ventured in. This was by far the best restaurant in the area. The owner Stelios was very welcoming from the moment we approached. He found us...More"
"179","Had a really great experience at the restaurant. The food was superb and the staff were friendly, attentive and efficient. Special  mention to our waitress, Eileen who was excellent. Also great value for money"
"180","Lovely food, great options for vegetarians, hospitable staff, great prices and generous extras. Highly recommended!"
"181","Vasilis is the best waiter ever! Amazing food, very tasty and environment is great. We became locals and will come back often!"
"182","Amazing Greek food, so authentic. Lovely little find if you’re visiting London and are looking for something away from the hustle and bustle of commercial food. Service was excellent and house red was extremely drinkable!"
"183","This restaurant is great, good food, nice service, very enjoyable. We had set lunch menu, mix dips for starters, all nice and fresh and grilled salmon and mixed kebab for main. Everything was delicious and perfectly cooked.Really recommended!"
"184","Once again never fails to impress. The food was tasty and authentic as always. Everything on the menu is a must try, especially the Octopus."
"185","Had several dishes between 4 people. Large portions and all tasted 10/10. Complementary drinks as well."
"186","We visited on the 3rd, it was my 40th birthday and due to the pandemic, we couldn't do the big birthday celebrations we had planned so came to my favourite restaurant just as a couple for the first time in about 2 years! Food was...More"
"187","Great food. Great pricing. Great service and staff. Loved it. And a just far enough out the way to chill out. Had a lovely lunch."
"188","Had a lovely meal here. Not only is the food magnificent, authentic and well cooked , the staff are lovely, friendly and accommodating. Setting is very intimate and cozy as well as feeling in the heart of busy Camden. Definitely a go to place when...More"
"189","Fantastic food and amazing customer service..... had a great chat with one of the staff Eileen. and they have a good slecetion of greek food..... one of the best in town."
"190","Really top quality food and service (shoutout to Vasilis). Fully recommend, and perfect for a summer evening."
"191","Eileen was brilliant, can’t recommend her and the restaurant enough, fantastic food, great atmosphere and the service was the best!"
"192","Had an absolutely superb mezze platter that was so delicious and so much food we struggle to finish. We were served by the fantastic Eileen who was very attentive and fun. 100% recommend!!"
"193","We had lunch. The texture of the calamari rings was nice and the vine leaves are quite tasty. The waiters were friendly and service was quick. However, the portions of starters were smaller than expected and quite expensive. We had prawns which were lacking a...More"
"194","Lovely food! Great recommendations from Eileen! Definitely coming back soon, and would recommend the grilled octopus to anyone."
"195","Our waitress Eileen recommended some amazing dishes and they did not disappoint. Fantastic hot meze and octopus, and the staff were fab - will be back!"
"196","Amazing food and such lovely service - Eileen gave us great recommendations for food! The grilled octopus is a must get"
"197","I went here on Monday with my friend and to say the least the food was amazing. I ordered calamari and it was mind-blowing, so delicious. The staff are also really friendly and our food came quick with no haste at all. I recommend!"
"198","We had a family and friend gathering at Alexander the Great and I had a truly exceptional time. The Calamari was so succulent and tender whilst the mixed grill was so fresh and authentic, it felt like you were in a Greek island. The service...More"
"199","Visited here on a warm sunny day sat outside , amazing food , succulent fresh n delicious, absolutely perfect this is our new favourite restaurant, the service from Ilona was superb infact both young ladies where extremely friendly and welcoming they couldn’t do enough for...More"
"200","Amazing dishes, drink, nicest service, thanks to Andy in particular! One of the greatest greek place"
"201","10/10, great service, great food, I would definitely recommend. Andy in particular was outstanding, really friendly and great atmosphere"
"202","Perfect service, incredible meal and a wonderful server! Thank you so much, Andy, for such a lovely experience!"
