"","documents"
"105","Food was delicious! Service was very friendly and lovely. Our server Eileen was very attentive and ensured that we were happy!"
"106","Came here with the boys for my 30th birthday meal and had a fantastic time. The service was great, we felt very welcomed. My friend declan bought me a peppa pig cake and the staff brought it out with a lot of fanfare, even joining...More"
"107","Spent a pleasant lunch celebrating my son’s birthday - Andreas  in particular made us feel very welcome and the occasion memorable!   The food and atmosphere were excellent - I chose this place because of the reviews and I was not disappointed.  Thank you!"
"108","This is honestly the best Greek restaurant I have ever been to! The food and service were amazing! Vasilis had so much awesome energy and really made the dinner special."
"109","We went to celebrate birthday for a friend, the food was authentic,  yummy and  fresh, the portions were very generous, the staff were 'old school' funny and attentive. Great place will definitely come again."
"110","If you want to experience the Greek-Cypriot Cuisine, this is the go to restaurant in London! Wonderful food, lovely staff! I had a fantastic time with my friends and the food portions were massive! Kyriakos the manager of the restaurant was really friendly and he...More"
"111","great little place booked on the back of the trip advisor reviews, we were not disappointed, place was busy which is always a good start, got seated and sorted quick and food ordered quick but didn't feel rushed, the 6 of us had a real...More"
"112","Absolutely love this place and definitely the best Greek restaurant (outside of Greece) that I‘ve ever been to. The food is incredibly good, plenty of vegetarian options too, and the people working there are super lovely, welcoming and attentive. Highly recommend!"
"113","We have had an amazing lunch. The service was excellent, Vasilis our waiter was great, he was so attentive. The food was fantastic. Would recommend to anyone looking for great authentic food."
"114","We were amongst the first customers of Alexander the Great. Why do we keep coming back? The answer is in the excellent Greek Cypriot cuisine and the professional and warm service of all the team, Vasili, Andy, Kyriacos, Eileen and the excellent head chef, Carmen....More"
"115","Very friendly atmosphere and hospitality. The food was great, but not as great as Vasilis the waiter."
"116","Excellent customer service, very fun and warm atmosphere and good food. Waiter was very interactive and the prices were competitive"
"117","Vasilis was an amazing staff member, and the food was great. It was a welcoming place, definitely recommend and will visit again!!"
"118","Vasilis was a fantastic waiter, very kind. Had a lot of fun here with friends. Particularly enjoyed the spinach and feta pastry."
"119","The deals are great and the food is superb ! I'm not a big chicken person but the chicken here was so nice! The stuff are so friendly and made our murder night in halloween so much better. They provided a quiet place"
"120","Me and a group of friends came in for a Halloween get together and the service was spectacular, especially from our waiter Vasilis."
"121","Just unbelievable!!! Just stumbled upon this restaurant from a trip advisor search the recommendation were not wrong!!"
"122","Glad we visited this cosy restaurant for authentic Greek food. We were very wary of not ordering too much as we didn't want to waste any food due to big portions. The waiter (owner) was very good and explained the dishes. We ended up with...More"
"123","Amazing food and nice service from Ilona! Chunky piece of Octopus and the lamb cutlets were nicely grilled.. Would go back!"
"124","Food was really tasty and loads of it, amazing value for money. Had the vegetarian mezze, the courses just kept coming. Staff were friendly. Highly recommend this restaurant"
"125","Visited this restaurant with my daughter for her birthday and loved every minute of it!  We both had the vegetarian meze which was amazing.   The restaurant is cosy, the staff were friendly and attentive and the food was excellent.  Will definitely visit again next time...More"
"126","Exceptional food and service. Our waiter, bless his heart, mixed up our order a bit and brought us much more food than what we have ordered. The food was delicious and they offered us complimentary all the food items that we haven't ordered.  They also...More"
"127","The meze was great, lovely atmosphere but our waitress Eileen was the star of the evening. We wish her good health x"
"128","I went for dinner with my family and we left amazed. Every time I go to Alexander the Great I have a delightful experience. I would recommend this restaurant to everybody as it is a great dinning experience combined with amazing service and a great...More"
"129","Me and my sister's visited here on Tuesday after finding this restaurant on trip advisor. What an absolutely amazing experience from start to finish. We were greeted by David who was so warm and welcoming, we sat outside but soon changed our mind because the...More"
"130","My husband and I were lucky enough to eat here on Friday evening and were so pleased we did! The food and service were incredible. Our waitress was really helpful. The mixed starters we had were delicious and generously portioned. My husband thoroughly enjoyed his...More"
"131","I’ve been waiting for my birthday table for 40min!! Then got ripped off on the final bill. Never again. The staff was not even aware of how many guests were supposed to come with me."
"132","My wife and I enjoyed a delicious meal. Vasilis is the King of all waiters! He made the evening most enjoyable with excellent service and showing total dedication to his work. The atmosphere in the restaurant was very upbeat with a number of birthday celebrations!!...More"
"133","Went with a group of work colleagues for lunch today and had mixed meze and vegetarian meze between us all. The food was fantastic and lots of choice. There was too much food to eat so we took some ‘doggie bags’ home. The aubergine dip,...More"
"134","I booked this on the review of it being the best Greek restaurant to eat , how wrong was I !! We ordered the mixed dips platter to share which was ok and mousakka which was the worst I’ve eaten  , no Greek atmosphere and...More"
"135","Just a short walk off the tube from Camden Town, my friend and I searched for a satisfying dinner full of meat, salad and flavour.This is exactly what we got and more!!Staff are so friendly, informative and attentive!Great prices for food and...More"
"136","Amazing experience for dining . The service was exceptional , amazing food , very big portions , food is fresh best experience I’ve ever had will be coming back again for an spectacular customer experience , definitely   would recommend it amazing host for birthdays and...More"
"137","A friend and I recently had dinner here for the first time. I live in London, but visit Greece quite often, and love Greek cuisine. The restaurant is small and cosy, with a definite Greek feel to it. The staff are wonderful, made us feel...More"
"138","The meal was fantastic and the staff, especially Vasilis, were very attentive and fun!  Can’t wait to come back!"
"139","Fabulous food, atmosphere and service. We'll be back! We felt transported to the Greek islands.. whilst watching the London buses sailing by "
"140","The atmosphere and service from Andreas was exceptional. We had a lovely meal last saturday and  the stifado really was special. I'll definitely return!"
"141","Tghe atmosphere was super friendly and the service excellent. The food was excellent and all in all it was a lovely experience. They even gave us cake and champagne - because we were 10 people."
"142","Easy to arrange, fantastic spread, warm welcome by Papou... Just what we were looking for. Meat mezze really excellent. Highly recommend!"
"143","This was exactly what we wanted, nice greek food and friendly staff who went the extra mile, made us laugh and treated us to Mezcal at the end of the night."
"144","It was one of the best meals I've had at a restaurant. I went there with a friend and we both had the mixed meze, it was a meal upon and meal upon a meal, SO GOOD!!! Vassilis and I presume his wife were amazing...More"
"145","A truly memorable evening.  Wonderful greek meal and a surprise candle lit Greek desert accompanied by Happy Birthday song and fellow table of guests at restaurant, celebrating and singing. Thank you to all staff and Vasilis for an enjoyable great celebration at Alexander The Great...More"
"146","This place is an ongoing blessing for the city of London, with the incredible food, the nicest and most welcoming staff, and even some traditional background music. My absolute favorite meal is a seafood menu with extra octopus, but anything you order will be a...More"
"147","Lovely Greek resto. Delicious food and great service - Andreas was super welcoming! Will visit again."
"148","The service atmosphere and definitely the food . It was all fantastic. My family and I enjoyed the ambiance of the friendly waiters. The owner was always on the floor overlooking everything. Portions are fresh and generous. I had the fish which was heavenly. Afterwards...More"
"149","Was very good impressed by this local great restaurant. Fully greek themed with very nice decorations.The Food is AMAZING. I love greece and they have the most accurate and great recipes I have found in LondonBIG portions and great price. I was looked...More"
"150","The whole meal experience was wonderfulAndy looked after us knowing the right times to ask how everything was- his professionalism shone throughMy Kleftiko melted in my mouth and my partners Kebab was enormous with the quality and presentation up there with the best...More"
"151","Thanks to Vasilis for this experience, we had a good welcoming, good recommandations for the food and the drinks, we also discovered greek musics. I definitely recommand this restaurant if you like greek atmosphere."
"152","Best Greek food!!! Loved our visit. Vasilis is so lovely. We liked the pitta and feta. Really delicious"
"153","Went for a meal here on a whim & our expectations were blown away. Incredible service, free drinks on the house and an amazing Mezze platter. Wholeheartedly recommend… try something new! You will not be disappointed."
"154","Great service & great food. Andy was very accommodating. Would recommend the vegetarian meze! Yamas!!!"
"155","Andy is a hero and I love him xThe food was greatSaw some great views, it was like being in Greece"
"156","Had a great evening with Andy, perfect service and beautiful food. Some love limoncello after the meal."
"157","Feta fantastic Sublime service Cracking cuisine It was so good oh my goodness it was amazing just top rated"
"158","We had an excellent lunch here on Monday. I was impressed from the first by the friendly welcome, lovely cooking smells, the pristine white tablecloths, Greek music, a very authentic atmosphere. The food did not disappoint, it was freshly prepared, delicious and the service was...More"
"159","It was great food also very good service.Especially Ilona and Andy were very friendly and kind.Definitely I will come back!!"
"160","Excellent food and service. The keftedes and octopus were very nice. Thank you Andreas and to the waitress serving us yesterday."
"161","The greek cuisine was brilliant. Vasilis was very snappy in service and it made the evening even better . They were very welcoming and the music was great."
"162","Very friendly and accommodating staff. I would recommend the mixed meze. The server Vasilis was especially kind and entertaining."
"163","Very friendly staff and lovely food! Great atmosphere within the restaurant. Great service byVasilias and was super friendly."
"164","The meal was incredible, and a great atmosphere. Our server Vasilis was very friendly, would definitely recommend going."
"165","An amazing experience, such nice waiters. Great atmosphere and the food was top tier. Vasilies served us and he was brilliant! A really good restaurant, would definitely recommend"
"166","Amazing food and incredible service. Our waiter Vasilas was a true gentleman. Best birthday party ever with cake and champagne on the house!"
"167","Came here with a large group for a celebratory meal. Amazing staff who acommodated us. Service was quick and the food was simply brilliant. Vasilies who served us was brilliant and so friendly. Reasonable prices for large portions.Would 100% reccomend!"
"168","Having read all the positive reviews, we drove 40 miles to celebrate our wedding annivesary here. The whole experience was superb. Definitely the best Greek we've had (even including visits to the Greek Islands) and the friendly service made us feel really welcome.  We will...More"
"169","We had such a lovely time here: generous portions and friendly staff. Would highly recommend! Food is so great!"
"170","Beautiful place, delicious food, wonderful service! High standards. Specially Vasilis, who served me tonight. Brilliant atmosphere, positive vibes. They know how to feed people and make them happy! Highly recommended!!!"
"171","We had an amazing dinner for 7 friends. Food was phenomenal (we were soo full) and Eileen was amazing all night. Food came so quickly. Can’t wait to come back."
"172","We visited for an evening meal at 8pm on a Thursday and we booked, which is wise. You can sit inside, outside on the covered side terrace or outside under an awning. The prices are very reasonable and the choice is extensive. We had the...More"
"173","Really great restaurant that made you feel like you were holidaying in Greece in the middle of London.  Reasonably priced, fantastic food and amazing service from Vasilis.  Thanks for a great night."
"174","Don't usually write reviews on Tripadvisor but this place was do good I had to. Such nice friendly staff and delicious food at a good price. The kleftiko was amazingly tender. We felt so well looked after by the lovely vasilis and will definitely be...More"
"175","I really recommend this restaurant! The food is really traditional greek and surreal taste. The staff is very friendly, specially Vasilis, we had a good chat about Greece and he did good recommendations about what to eat and to complete good drinks! I gonna be...More"
"176","The best evening. Spend 3 hours; the food, service and ambiance are to die for. Eileen, our server, was an absolute charmer. Highly highly recommend"
"177","We just came back from our dinner. The food is amazing and the service is excellent. Eileen is so welcoming and our kids love her to bits. Highly recommended and we will definitely come again next time when we visit London. Thank you x"
"178","We visited this evening as a family of four. The food was amazing! Authentically Greek and so tasty! Service was great as well - warm, friendly and lovely to the children. Would highly recommend!"
"179","just a short walk from camden underground lies this hidden jemfamily restaurant with superb food plenty of choice great service from eileen who was able to answer all questions about the dishes on the menu and was very friendly and entertaininggreat atmosphere we...More"
"180","I know this wonderful restaurant for years and never regret going there. Cousy and astonishingly beautiful inside and outside.  Friendly family service. The most delicious Greek food you can ever find in London. OCTOPUS was superb! Thank you and it was nice to see you...More"
"181","Easy to find and only a short walk from the Camden Tube station. We visited early on a Saturday evening having reserved a table via Open Table. Very friendly staff. We had the scallops in white wine and garlic sauce and aubergine salad for starters...More"
"182","Seriously great food and extremely good value. Amazing staff and wonderful service, if you get a chance have have to eat here!"
"183","It was my 30th birthday. And I didn’t expect anything as my friends had booked the table for 10 of us. However, to my surprise a gourmet bottle of champagne for me was delivered along with a Succulent meat platter.Our veggie friends were also...More"
"184","Had the mixed mezze at Alexander the great! The food was incredible and the service amazing! Would definitely recommend! Shout out to Andreas who made the evening so much fun!!!! Thank you!"
"185","To sum up this review, it was phenomenal! We were visiting London for an exhibition and were looking for food in the evening and stumbled open this place based on tripadvisor reviews. And I must say they are totally correct! The service here was best...More"
"186","This place is always amazing, a brilliant family-run atmosphere, lovely staff, incredible food! Keep coming back! Thank you Eileen!!"
"187","Great restaurant serving very good food and lovely service. I have been a couple of times. Once I had the grilled fish and once the shared mezes for 2. Both were great and authentic. There also are some Cypriot dishes to try. Location is also...More"
"188","The food was really good. It was my friends birthday and she felt really special. I do recommend it the food really did taste fresh and it was definitely good value for money"
"189","Excellent quality food, with very good portions. Lovely, intimate venue and wonderful staff - Andreas is the absolute boss!"
"190","Such a lovely experience. Food was amazing, I had the seabream and it was delicious. Andreas was our waiter and he was very friendly and attentive. He really looked after us! We'll definitely be back soon! 10/10"
"191","The food was delicious, the service was wonderful and the people were so, so lovely! We had a great time and will definitely be going again. Would definitely recommend :)"
"192","Incredible, authentic food and amazing, attentive staff. Taken care of by the lovely Eileen! Definitely recommend  for a lovely evening and great restaurant experience. Love from the three sisters "
"193","We celebrated our graduation at Alexander The Great and we had the most wonderful time. Not only the food was amazing, the atmosphere of the restaurant was very comforting and the staff were delightful to us!We couldn't have had a better celebration! "
"194","Love this restaurant. True Greek hospitality, welcoming with delicious dishes on offer. The waiter Vasilis was very attentive making sure we had everything we needed without hovering over us. I went with 3 friends I don't eat red meat so had fish with rice. Friends...More"
"195","Lovely atmosphere, amazing food, great service. Would definitely recommend & visit again Adult family of 5 and we had the meze - wow, beautiful! Thank you"
"196","I went here with my friend and had such a lovely time the staff were absolutely brilliant will be back"
"197","The food is good, it really feels fresh and taste bit nothing crazy! The service was poor. The waiters weren't wearing any mask, we had to wave them twice to be served. Nobody checked with us to ask if the food was good or not...More"
"198","We booked a table of 8 for my sisters birthday. What a fantastic night, from the service to the little extras which made the night extra special. Food was brilliant and fresh. I would highly recommend ordering the Meze. The free bottle of champagne at...More"
"199","What a delightful evening. If you’re looking for a Mediterranean experience within London, dine here. This restaurant has an amazing ambience, friendly and accommodating staff and an owner who ensured every diner was welcomed. The ‘kleftico’ was absolutely delicious, and all dishes were fresh. Menu...More"
"200","Visited this restaurant Monday 14th June during a trip to London. Greeted by a lovely waiter called Andy who looked after us magnificently all evening. Ordered a nice bottle of red on his recommendation. The food was fantastic. For starters we had tzatziki & saganaki...More"
"201","I've noticed the restaurant while having a walk in the aerea. We decided to have lunch and I will definitely be back! I would like to see the dinner atmosphere! Lovely service and amaaaazing food!!"
"202","Delicious and authentic greek cuisine. One of the few that stays open late so is usually my go to when coming back home from a flight. Fish of the day always very good and fresh."
"203","Vasilis it’s amazing. We love come to Alexander the Great. We feel home. I highly recommend. The food is marvellous."
"204","The most memorable evening. It was our daughters birthday. The staff could not have been friendlier or more attentive. The food was amazing. Everyone wanted what everyone else had and the usual happened. Such a lovely setting and experience."
"205","What an authentic find. Booked online and were welcomed by Vassilis and his team like old friends. As we walked towards Alexander the Great the assault on our senses became more intense, feeling like we were walking in to what could be a little corner...More"
"206","Few weeks late with my review but had to do it!Went here for a date night to see what all the fuss was about on here.THE MOST AMAZING OCTOPUS! & irish coffee ( Im irish so very rare to find! )-portion size...More"
"207","Pukka fish kebab and meat grill cold and hot meze makes it the best in camden great music and the best staff "
"208","I booked Alexander the Great for a dinner with Friends and it was fantastic! The food was really good, I got the Kleftico which was cooked to perfection and the portion was really big so make sure you come hungry. We got some starters that...More"
"209","My family were recommended to go to Alexander the Great as our favourite Greek restaurant Kolossi has closed down. The staff are very friendly, the atmosphere was jovial and the food was very nice. I would highly recommend if you like authentic Greek food. We...More"
