"","documents","ViaMobiles"
"11","My darling boyfriend got me an experience for Christmas- I honestly feel like we’ve  been completely ripped off . We wanted to go extra for a T bone steak- it was TINY. £230 later and we are still hungry. Sides are a mouthful at best...( and I’m not talking fine dining experience ). For that money We could’ve bought a weekend away, rented a helicopters across london… the options are limitless. Never thought I would say Sushi Samba seems value for money in comparison.Avoid at all costs. Daylight robbery.More","Mobile"
"12","I went to this restaurant a few days ago and had the best time! The £55 deal I bought on Red Letter Days included a three course meal and a cocktail for two. Which is great value for money. For starters we had a prawn...cocktail. Which was delicious the bread that came with it was nice but I think it was a slice of wholemeal kingsmill. For mains I had the Duck which as AMAZING! And my sister had the sea bass. She was a very big fan. And we both had the apple crumble for dessert. It was amazing we wish there was more. I can’t remember the name of the cocktail we got but it was basically a pornstar martini. It was very yummy. Honestly a great experience especially for the price we payed. At the end all we had to pay was service charge! A very nice dinner, we will be retuning.More","Not Mobile"
"13","Really interesting and ultimately tasty food options here with the main choice, obviously, being steak. Attentive waiting staff although my order was wrong but corrected speedily. Huge wine list but careful if you choose a Hendrick's Gin as they served it with lemon and not...cucumber (sacrilege, haha)More","Not Mobile"
"14","Went for dinner tonight at the London Steakhouse Co as part of a Virgin experience voucher I bought over 2 years ago (pre covid). Honestly gutted with what I’d thought I’d paid for… We arrived and all was fine, host was nice. Had high expectations!...We got sat right next to the waiter assembly point, which wasn’t ideal, especially when the restaurant was relatively quiet at that point. You felt like they were just watching your every move, it was weird. Anyway, free cocktails arrived and they were rubbish - nothing more than 2 glasses of juice! Menus are deceiving too, the voucher basically allows for a very limited experience (a waste of time considering you’re already £50 down at the start). We scanned the extensive wine list and there were barely any available. Ordered a bottle of red in the end, it was poured for us initially, but as soon as one of us was halfway down the glass, the waiter would rush over and pour us more, dripping it everywhere in the process? Everything just felt so rushed, we would have been more than happy to pour ourselves to save him the stress!We asked for table water assuming it would just be tap - the waiter brought us a bottle of still spring water, another £5 for the privilege. Starters were ok, but not hugely memorable. When it came to the mains, my boyfriend and I both went for rumps - I asked for rare and he asked for bleu. The waiter tried to tell my boyfriend that you’re not meant have rump bleu? Surely that’s just his opinion… we found it a tad rude. Anyway, he compromised and went for as rare as possible as per the waiter’s recommendation. Our steaks arrived, mine was fine but my boyfriend’s was far smaller and definitely towards medium, when he clearly stated he wanted it as rare as possible. Safe to say he was not happy! He raised it with the waiter afterwards, who had clearly checked out at this point, he offered us a free coffee ? Not really an ideal solution. Desserts were probably the best bit. Sticky toffee pud and apple crumble, but neither of us are really dessert people, we just had them since they were part of the voucher. If I had known about the ludicrous side situation for the main (if you don’t pay £6.50 extra per side you just get a piece of steak on its own?!) I would have traded the dessert in for a side. I could go on and on, I am so gutted about this. In the end we paid £115 including the pre paid voucher, for a seriously lacklustre meal and poor service. I am far too polite to ever remove a service charge, but the more I think about this shambles of an experience, the more I’m wishing I had. Don’t bother going here!More","Not Mobile"
"15","Went for Valentine's Day. Fixed menu. Very average food, grubby toilets, and seated directly in front of the serving station, feeling like the staff were eavesdropping. Crammed in, and not a relaxing environment. A tiny, overcooked steak as a main, dryer than average cured salmon...for starters, and a forgettable dessert. Waited approx 45 mins to even be asked for a food order. Half a pint of lager and one glass of wine relieved me of circa £150. Will continue to visit Galvin around the corner as that is very much worth the journey and cost! Steak - poorHospitality - poorInclination to return - very low.Taste - poorMore","Not Mobile"
"16","If you can change your voucher to an alternative restaurant then DO IT.Weird munipulitive behaviour on arrival from both the door man and the waiter about going for the 'al la carte' menu gave me reason to look into the difference a little deeper....More","Mobile"
"17","Went on a deal from the daily Mail .5 courses for £55 with a drink.  Food is below par. Drinks are expensive.  We will not go back.  The whole restaurant was full of people on deals.  Mass produced.  Avoid!","Mobile"
"18","My fiance and I had visited London Steakhouse Co. last Friday and our experience was fantastic. The team took great care of us and the food was delicious. We will definitely return.","Not Mobile"
"19","Wow what a wonderful restaurant I took my friend for her birthday and everything was perfect really really friendly staff , the food was unreal and the restaurant was classy and stylish I would highly recommend and will defiantly be going back","Not Mobile"
"20","A Great Atmosphere and the most amazing food - plus great value - The Bar has every sort of cocktail ingredient needed and the whole place is super clean","Not Mobile"
"21","Attended the restaurant with my partner for her birthday. I had purchased the Wowcher experience. As we waited to confirm our booking, we were not spoken to or addressed  but the people behind us were address immediately. It is was very clear from the outset...More","Not Mobile"
"22","We had a 3 course meal, which mine was lovely. My partner has a dairy allergy which they failed to cater for. There was one starter she could have, any steak but non of the sauces, only 2 sides and no puddings. We asked if...More","Not Mobile"
"23","Our bill totalled £191.50. We ordered 1 x potted duck 1 x kipper patè 1 x T-bone steak to share with cafe de Paris butter , 1 x portion of fries 1 x tiger prawns 1 x apple crumble 1 x lemon posset 4 x...More","Not Mobile"
"24","Staff where great very attentive and accommodating and the food was delicious. We have been to the Marco pier white steak house Glasgow a great times and this was just as good impeccable service.","Not Mobile"
"25","Me & my partner had a set menu voucher. I decided to have the 14oz Rib eye steak. Sooo glad I did, I was the best steak I have had in my 52 years of being alive!! Great service, excellent food & nice atmosphere.","Not Mobile"
"26","Came to eat here by way of a Groupon deal (my wife loves a Groupon deal!).  The service was friendly and efficient and the food really good across all three courses.  I would not hesitate to eat here again even without a Groupon deal.","Not Mobile"
"27","We visited as we were given a gift. We used this for our wedding anniversary. Food was good not excellent. As will be expected, bit small on portions size. Service was great from our waiter. BUT expect to pay more for the extras than you...More","Mobile"
"28","After a long day out in London getting soaked by the rain, LSC was an experience that left my partner and I feeling relaxed and well taken care of. The staff were so polite and attentive, and the atmosphere made the small fortune that we...More","Mobile"
"29","Friendly warm welcome. Good food, wine and service. Pudding -(crumble) was cold but our only complaint.","Not Mobile"
"30","My wife & I received a meal for two Virgin Experience voucher (£110) as a Xmas present. We had tried a similar experience with The Savoy Grill in 2021. These vouchers get you through the door and then you have to pay another £50-100 to...More","Not Mobile"
"31","The staff were friendly and approachable. The food was pretty much style over substance. The steak was no better than decent pub food. The desserts seemed like an after thought. My sticky toffee pudding was a wierd texTrue, dry and tasted odd. When I mentioned...More","Mobile"
"32","I have walked past this restaurant so many times and haven’t even noticed it. It is slightly set back from the road and below pavement level but from start to finish, this restaurant was stand out quality and I will be using more often going...More","Not Mobile"
"33","Food and service was good.  Decor a bit old fashioned and dated and you could only choose from a few cocktails.  You do get charged a service charge approx £10, that's if you have nothing extra.","Not Mobile"
"34","When you find somewhere good, you have to tell people about it, don't you? as nice places seem very hard to find these days! My wife and I went here for a valentine's experience, booked via the Virgin experiences website, this place was excellent, in...More","Not Mobile"
"35","We went here using the virgin experience 5 course menuWhile the deal is good value the service was awfulWe were sat down 10 minutes after our booking and nobody came over to our table after this for an hourThe food took about...More","Not Mobile"
"36","We had an amazing meal for our first time coming here would definitely recommend and definitely come again.","Not Mobile"
"37","Lovely restaurant, great food and very good service.  We were made to feel special and a lovely touch wishing me happy birthday in chocolate on my desert plate!  We'll be back!!","Not Mobile"
"38","Perfect end to an evening at the Shard, Although a bit further away than we expected. Well worth it.Staff were friendly and helpful. Food was excellent. Thank you","Not Mobile"
"39","We had an amazing anniversary meal last night, the food was wonderful and a big thank to the Manager and our waiter who were fantastic and they made our night.Highly recommend.","Not Mobile"
"40","Great service, the ambience in the restaurant is chilled but attentive. The food is well considered and prepared to perfection. We used a voucher we had purchased from the website on black Friday, so the meal was from a set menu. This didn't reduce the...More","Not Mobile"
"41","Great welcome, wonderful service and brilliant food and wine.We upgraded to the VIP package and it was well worth it and we would highly recommend it.","Not Mobile"
"42","We were worried about using our Virgin voucher after reading the reviews but we enjoyed everything about our visit, the food was cooked to perfection and presented very well, lovely ambiance and Jose (not the special one) and Zlatica couldn’t have been more helpful. Yes,...More","Not Mobile"
"43","Food was average at best. Simple and I felt short cuts had been made. It was full of customers with offers which shows its working but maybe they should ask themselves why they need to run offers to get people in.  Staff were lovely, friendly...More","Not Mobile"
"44","Most we have ever paid for a steak and yet not the best one I have had. Front of house guy at the door was very keen to leave before seating us. It was an average experience and expected more from the place. Also, the...More","Not Mobile"
"45","Had the bone in sirloin and prawns as add on. Asked for medium and the cooking was spot on. Staff friendly. Much better alternative to Hawksmoor and Gauchos etc a very strong 4 star","Mobile"
"46","Great food with good selection of wine and great service, the staff were so friendly We had a voucher for the set menu but paid the extra 55£ for the upgrade which was well worth it .","Not Mobile"
"47","Visited as part of a Virgin experience. Experience was very mediocre but hugely expensive. The cost for additional sides was extortionate considering the size of the them and the steak although cooked beautifully with great flavours was served cold. Prawn cocktail starter was again very...More","Not Mobile"
"48","Excellent finish to birthday celebrations and our day out in London. Brilliant service and delicious food.","Not Mobile"
"49","We visited as part of a gift experience through virgin experiences. We were very pleased with the greeting we received from the staff and how attentive they were. We were a little early for our reservation but a table was found for us and there...More","Mobile"
"50","Very nice restaurant, we had a group on voucher for a 3 course meal with a cocktail.  The food was amazing and the cocktail was fab. staff were very attentive. Will be going back soon.","Not Mobile"
"51","Service was very slow and it wasn't even busy. Forgot to set our table with cutlery. Starter was nice. Steaks came one with wrong sauce. Plates were cold so food went cold very quickly. Asked for the bill when they cleared the plates but forgot...More","Mobile"
"52","Purchased a voucher which entitled us to three courses and a cocktail. I was not disappointed. From beginning to end, the service was stellar. In particular our waitress, Ela, who was attentive and polite. Lovely ambience and food, I would highly recommend it. Thank you...More","Not Mobile"
"53","We had a voucher for a 3 course set menu which we thoroughly enjoyed. We would definitely go again sometime !!","Not Mobile"
"54","What a lovely place, friendly faces from the minute you walked in, friendly waiters and waitresses. They couldn’t do enough for us, food was delicious and main course was delicious - certainly go again","Mobile"
"55","We have just left the restaurant after having booked the Virgin Experience 3 course meal with side and cocktails for 2. And let me tell you this was the best meal we have had in ages. And what wonderful and attentive waiting staff just fantastic...More","Mobile"
"56","My boyfriend and I went here for his 22nd birthday and we bought a gift deal where it was two courses and a drink for £45 and the food was amazing we really enjoyed ourselves. However it was the service that made us feel miserable....More","Mobile"
"57","Restaurant dead, only 3 tables occupied and could hear a pin drop as no music.  As others mention only 1 choice of steak which is a rump.  Sorry isn't this a steakhouse?  Paid £36 upgrade for a t-bone to share, no vegetables at all were...More","Not Mobile"
"58","Absolutely lovely meal at this restaurant! The staff were very friendly and attentive throughout the whole experience. The food was lovely, we went for the set menu as had a voucher as a present but added extra for a cost which we felt was worth...More","Mobile"
"59","Service was amazing, but really disappointed with the food. My partner ordered a medium steak which came rare and burnt on one side. Moreover, he went ill the next day so the meat was clearly a bad quality. We will never come back! Please please...More","Not Mobile"
"60","Excellent service from the staff polite and attentive very friendly.Good food.Would recommend for anyone","Mobile"
"61","We had a nice waiter , the cocktails were reasonable and the starters -the duck was the best choice though. Any decent steak was extra and not just a few pounds - the price of a meal. The extras at £6.50 were also expensive and...More","Mobile"
"62","Waited 40 minutes to order. Had to ask for water 3 times before being brought to us. Drastically under staffed and waiters didn’t seem to care. Food itself was reasonably good for the price.","Not Mobile"
"63","Visited for lunch using a buyagift  voucher for 3 courses and a cocktail for 2  at £55.Had read negative reviews on here, so had low expectations.We were greeted by a friendly front of house gentleman who took our coats, seated us and explained...More","Not Mobile"
"64","Went for dinner as had a voucher for 3 course meal & a cocktail . Had trouble booking what I would consider a ‘normal’ time to have food. Was originally given after 10pm but did manage to change it to 9pm. Still a bit late...More","Mobile"
"65","It’s been really interesting reading the reviews of those who had a Virgin experience deal. We had lunch here yesterday and had a great experience. We had the voucher as a wedding gift including a visit to The Shard. To make the most of our...More","Mobile"
"66","Our niece bought us a dining voucher experience and we thoroughly enjoyed it. For the main, I had the sea bream and he had the rump steak, both cooked perfectly.A couple negatives.The bread with my other half's prawn cocktail starter was awfully cheap...More","Mobile"
"67","My wife and I went to this restaurant as part of a deal, so wasn’t expecting the best that the place had to offer, but the steak would be great, right? Not really! We wished we had stayed and eaten in the Wetherspoon where we...More","Mobile"
"68","My daughter paid for a meal voucher as a birthday treat for my wife and l in August this year. It started fine but rapidly deteriorated . The so called cocktails we nothing but a glass of ice. Insult to call them cocktails. Starters next...More","Not Mobile"
"69","Received this meal as a gift for Christmas last year. High expectations as it was a Marco Pierre White restaurant (which we didn’t realise was on par with a weatherspoons). To start it went well. The man on the door was lovely and accommodating. That...More","Mobile"
"70","Dined here last night on the Christmas set menu which looked really good value, but unfortunately I was massively disappointed. Starter and dessert were good but such a shame about the main event. The steak was supposed to be medium rare but was well over...More","Mobile"
"71","We visited this restaurant as part of a Virgin experience voucher. Of the 3 of us, two had the prepaid voucher and one of the diners was eating from the main menu. The bill at the end was over £100 for nothing special. The diner...More","Mobile"
"72","I was bought a lunch here  and then off to The Shard. Lovely the course lunch. The food is fantastic however be aware that when you order steak that’s literally what you get - just steak. The chips are extra at £6.50. Unfortunately there’s no...More","Mobile"
"73","I’ve eaten in some of the best and worst places in the world but this was definitely among the worst.It’s probably the worst steak I’ve ever had in a restaurant & the service was so poor it’s the only time I can remember getting...More","Mobile"
"74","We were given a Virgin experience treat which I unfortunately cannot tell the donor that it absolutely wasn’t worth it!Amateur at best, poor staff and average food, apart from being greatly overpriced. Also farcical based on what the actual voucher covers you for.The...More","Mobile"
"75","Don't get me wrong the the food was well cooked, Presentation was of the high standard that you would expect. For example we ordered the Prawn cocktail for starters it turned up in a glass with some iceberg lettuce topped with i suspect max 12...More","Not Mobile"
"76","We booked this as part of a virgin experience package. Overall everything was really good, the venue itself is lovely very intimate and lovely Christmas decorations. The only part of the service that wasn’t great was when we arrived the man on the desk didn’t...More","Mobile"
"77","Worst steak I have ever had. Paid extra £14.50 to upgrade to a ribeye and you can see from the picTrue below it wasn't great.  Husband ordered a filet and was given a sirloin. Had to ask for a sharper knife as it was blunt!...More","Mobile"
"78","We went on a voucher so only had to pay for extras but I would never recommend visiting if you have to pay because some of the prices are rediculous. £6.50 for every vegetable side or chips, £15 for a glass of wine, inexpensive wine...More","Mobile"
"79","Food was just average, had much better elsewhere. Main course took 1 hour and 17 minutes from ordering to be served. Side dishes, not worth the amount being charge.  Service terrible, ordered second drinks they were left on the bar for 25 mins, advised the...More","Not Mobile"
"80","Average food, nice staff, nothing special. The steak was good but generally nothing above and beyond other steaks we have had at other ‘steak restaurants’. The Smoked tofu was smooth and perfect , although the vegetables on the plate with it were cold and very...More","Mobile"
"81","We were a bit apprehensive about having our meal after reading other reviews, after been gifted the Shard plus meal Virgin Experience. Sadly our low expectations were met. I should say that the staff were all polite and pretty efficient so no complaints there but...More","Not Mobile"
"82","Attentive staff. Best steak we’ve ever had. The Smoked Tofu and Purple-Sprouting Broccoli were life-changing. Our waiter Luke was so helpful and friendly. Thanks for amazing dinner. Would visit again:)","Not Mobile"
"83","Good food, extremely busy. Service was slow as we waited an hour for mains however we was in no rush","Not Mobile"
"84","We had originally booked for our anniversary back in March 2020 and as soon as we walked in we were wished a happy anniversary.  The staff were wonderful, very attentive, the food was amazing and we enjoyed every mouthful.","Not Mobile"
"85","We really enjoyed the Restaurant.  Cocktails were great, food amazing, staff lovely and friendly.  Special mention to top waiter Pet, who served us with a big smile.  Would highly recommend and we definetly would go there again!","Not Mobile"
"86","Why is Marco,s name still associated with this up market Wetherspoons. I’m sure spooners is churning around their kitchens to be linked to the non quality this establishment offered. Don’t like having my main course arrive when still eating the starter, then promptly taken back...More","Not Mobile"
"87","We went here because we had a voucher for here and the Shard. Obviously the food was gorgeous and the service was top-drawer. A great night all round!","Not Mobile"
"88","This restaurant seems to be struggling as they are running gift vouchers galore for discounted and fixed price menus with people like Groupon and virgin. Having visited, I can understand why. The service was incredibly slow with our drinks arriving after we had finished our...More","Mobile"
"89","Awful service and bearable food.Firstly, our waiter slammed down our cocktails. I could have forgiven this if they were busy but alas they weren't and it set the tone for the afternoon. Halfway through eating our main, the waiter used his tact and interrupted...More","Not Mobile"
"90","We were gifted a meal here through the virgin experience. You will not be disappointed if you book a meal here. We unfortunately went to the wrong Marco Pierre restaurant and were 45 mins late for our reservation but this wasn’t a problem when I...More","Mobile"
"91","We were left disappointed with our visit here. Firstly, although maybe 2/3 full, the atmosphere was quite flat. But more importantly, the food was average at best. The starters of pate, terrine and potted duck were nothing much to write home about. But what about...More","Mobile"
"92","Visited the london steakhouse as part of the view from the shard voucher deal that was gifted to us in 2017! Staff were welcoming and friendly and service was prompt and efficient. We booked in for 12pm and were seated on a lovely table away...More","Not Mobile"
"93","We went as a group of 4 as part of a virgin experience Staff were friendly and the food was fine, but extras were very overpriced.A few pieces of broccoli for £6.50, a single potato, mashed and creamed… £6.50Food wasn’t anything I couldn’t...More","Not Mobile"
"94","Food was ok and cooked well but nothing fantastic and not worth the price tag. Had a voucher which barely covered half the meal. Side dishes were extra and very pricey for the small portions. Better value at Miller and Carter or something similar. Our...More","Mobile"
"95","We were given this meal for 2 as part of a virgin experience and what an experience it was!!The first part was a view from the Shard where we sat drinking cocktails with the most breathtaking view of London which I have to say...More","Mobile"
"96","Went to the steakhouse as part of the Shard Offer.  We had a lovely greeting at the door when we arrived, but this standard was not maintained.  We were shown to our table and given a menu, then waited ages before anyone took our order....More","Not Mobile"
"97","Booked a wowcher package of Shard and meal at London Steakhouse but unfortunately never received the tickets for the Shard. Tried to contact wowcher but the robots and what’s app beat me hence no £50 refund on the Shard tickets. The meal was excellent but...More","Not Mobile"
"98","This was our first time dining here and at a Marco Pierre White restaurant. The experience from start to finish was exquisite. My partner and I opted for the set menu; 3 courses, a side, and a cocktail. It was definitely one of the best...More","Not Mobile"
"99","Went as part of a Virgin experience treat off our daughters. Pleasant if unspectacular interior but really nice staff. We enjoyed the 3 courses, of which I had kipper pate, rump steak and then apple crumble. My gripe is the main is just a steak,...More","Mobile"
"100","Food excellent and plenty of it. Service impeccable and cocktails/wine superb. We enjoyed it immensely. Addressing some of the negatives highlighted by others, perhaps it’s worth remembering that this is a central London experience so cheap it is unlikely to be. It’s a popular venue...More","Not Mobile"
"101","Very mixed bag of courses,cocktails watered down and huge supplements for the steaks as for paying £6.50 for the sides which cost the restaurant a few pence at most. I'm sorry will not return, how can a steak come with such a sizable supplement at...More","Not Mobile"
"102","Visited the restaurant yesterday for lunch as part of the VE deal. Was initially impressed when we walked in, the main dining area was busy with a. I’ve ambience, however we would taken up to the mezzanine floor, where on the arrival of some more...More","Mobile"
"103","Yet another lunch here today and still very, very happy.  Very buzzy.  Very busy!  Genti, as always, looked after us wonderfully.  He keeps his eye on everything and is very impressive/cool!  This is our No. 1. London restaurant at the moment and long may it...More","Not Mobile"
"104","The entire business model appears to be to oversell a voucher, and then upsell and oversell to their captive guests at every opportunity. Then the plan is to get them out as soon as possible and upsell to the next customers. Add to that the...More","Not Mobile"
"105","We paid £55 in advance for this virgin experience, and, having read the reviews, knew we would need to pay extra for any side dishes.   The prawn cocktails were very basic, being just some shredded lettuce, five prawns and a drizzle of sauce.  This was...More","Not Mobile"
"106","What a rip off, they look for every opportunity rip you off.  Sorry sir, no 6 oz steak available but we have a 7 oz which carries a £14.50 supplement !  Sorry sir, all the reasonably price wine is off the menu ! Sneaked in...More","Not Mobile"
"107","My husband and I visited as we had been given a voucher for our anniversary.The food was delicious, couldn’t fault it at all. I think our waitress must have been new but she was polite and helpful.The end bill was rather pricey even...More","Not Mobile"
"108","My self and my partner went to dine here in September. We had brought a voucher from Groupon and went through all the booking process. On arrival we were greeted by the restaurant manager. I gave him my booking details and he said we weren't...More","Not Mobile"
"109","I went there with my wife as part of her 50th celebration. Lovely atmosphere, great and friendly staff, made to feel very comfortable. Food was lovely, Highly recommend, and very memorable.Thank you","Not Mobile"
"110","Seeing Marco Pierre White name attached to this restaurant I expect lovely food. VERY disappointed. I feel there is no way he has tasted this food himself and approved it. They even got how we wanted our steaks mixed up, we ordered different steaks from...More","Not Mobile"
"111","Was really looking forward to a nice meal out for my husbands birthday, however the service was terribly slow- we were sat down and not asked if we would like a drink whilst looking at the menu and were left for 20mins before we managed...More","Not Mobile"
"112","I Wasn't going to write a review originally as thought it was a one off and they were short of staff but , after reading other reviews,  it looks like there is something fundamentally wrong with the place .We were also on the VE...More","Not Mobile"
"113","Arrived 6pm for 3 course meal with cocktails for 2 using our Virgin Experience Voucher, we had a warm welcome and were seated in the main restaurant on the ground floor, the V E set menu included a choice of alcoholic or non alcoholic cocktails...More","Mobile"
"114","Got this from the kids as part of the Shard experience. Apart from this basement restaurant being nowhere near the shard, the main issue is the business model at the restaurant is clearly strucTrued to make you pay the same (perhaps even a bit more)...More","Not Mobile"
"115","My wife and I were looking forward to this experience and unfortunately, we were disappointed. As mentioned by others this experience is misleading and is deceitful. I am surprised that they are still running this experience.Reasons you should be concerned1) The restaurant is...More","Not Mobile"
"116","On arrival found found all to be well, the decor really nice aswell as being welcomed at the door and shown to our table straight away and the menu explained.After this we found the service to be extremely poor and very slow, ordered  cocktails...More","Mobile"
"117","Virgin experience bought for me from my adult children for my 50th which was a lovely present however, most of the staff made us feel like we were peasants in the cheap seats. I witnessed staff laughing between themselves at other diners  when they had...More","Mobile"
"118","We were so looking forward to the meal. The place was ok but the meal was not worth the money paid. The evening out was for my 50th birthday. It was supposed to happen last year (2020) but covid happen. Hence the reason why today...More","Not Mobile"
"119","This had been purchased as a gift from my wife with a voucher and if it had not been we would have walked out! On walking in it was the most hostile welcome I have ever had from a restaurant, we were left in a...More","Not Mobile"
"120","This was our second visit after a previous good experience. Could not have been more different and disappointing.  The steaks my wife and daughter ordered should have been medium, but were raw. Having sent them back for a replacement we could not believe the replacement...More","Mobile"
"121","As a group we meet every 6 -8 weeks for a meal - we decided on London steak house for our latest meal - and what a complete let down - where do we start ….. on arrival the wines we ordered were not available...More","Not Mobile"
"122","5 Star Prices4 Star Aspirations3 Star Staff2 Star Food1 Star Experience Classic Prawn Cocktail was some small prawns in a bland sauce on a bed of lettuceOf the three elements the lettuce was the tastiest.14oz ribeye had a lot...More","Not Mobile"
"123","Three of us went for an early dinner - 2 of the party using a Virgin Experience voucher and I paid separately for my meal. The restaurant was busy and every member of staff complained about the 'lack of staff'. The starters were all good...More","Not Mobile"
"124","Virgin Experience voucher - not the worst experience, it was a lovely date night, but we’re glad we had the voucher. The food itself was absolutely wonderful, staff were very attentive and polite, all food and drink was delivered really quickly. Atmosphere was lovely, decor...More","Mobile"
"125","This was a Virgin Experience gift for 2. The notional value was £55 per head for fixed menu. Choice of 5 cocktails - asked to substitute a beer for one and was refused, only substitution was a soft drink. Choice of 6 starters and had...More","Not Mobile"
"126","We were bought a virgin experience as a gift and were excited to use it in an exclusive London restaurant. We were under no illusions that we would have to pay extra but were shocked to find that the bottle of water placed on our...More","Not Mobile"
"127","gift vouchers for a set meal for two, atmosphere good, service goodstarter beetroot and goats cheese okayham hock terrine, no ham all fat/buttermains ribeye, or was it? well not the ribeye I’m used to. additional fee but did not seem to bad,...More","Mobile"
"128","Sadly, we felt very let down by the food and service here. We booked a Virgin Experience voucher so was aware of the set menu, however, serving just a steak on its own with not 1 side included is ridiculous, everything an extra. £6.50 is...More","Not Mobile"
"129","Nothing was truly awful but it felt that as a customer using a Virgin Experience voucher, we were treated less favourably than other customers. Had it not been a gift, I would've considered leaving but it wasn't initially obvious to us that this was the...More","Not Mobile"
"130","Good points:Staff were polite Drinks and food were nice (when they arrived)Bad points:Slow service When we received our bill I had to ask 2 different servers to pay for the meal, I could have walked out and I don’t think anyone would...More","Not Mobile"
"131","Really poor experience at this restaurant on a Friday night. We were given a virgin experience voucher as a gift and we’re excited to try this restaurant. The service was really poor, lots of waiters wandering around but not really doing much. Finally our order...More","Mobile"
"132","Very welcoming, friendly service, excellent food.We had gone there as part of a Virgin Experience day and our experience could not have been bettered.","Not Mobile"
